Raw Weather Data for La Canada Flintridge, CA
	Maximum Wind Gust
Date	(knots)	Station Used
1985-09-18	25.0	MOUNT WILSON
1985-10-06	25.0	MOUNT WILSON
1985-10-07	29.0	MOUNT WILSON
1985-10-08	18.0	MOUNT WILSON
1985-10-10	25.0	MOUNT WILSON
1985-10-15	35.0	MOUNT WILSON
1985-10-21	25.0	MOUNT WILSON
1985-11-01	25.0	MOUNT WILSON
1985-11-12	29.0	MOUNT WILSON
1985-11-25	39.0	MOUNT WILSON
1985-12-08	22.0	MOUNT WILSON
1985-12-09	22.0	MOUNT WILSON
1985-12-10	25.0	MOUNT WILSON
1985-12-11	48.0	MOUNT WILSON
1985-12-16	20.0	BURBANK-GLENDALE-PAS
1985-12-30	29.0	MOUNT WILSON
1986-01-01	20.0	MOUNT WILSON
1986-01-04	28.0	MOUNT WILSON
1986-01-06	25.0	MOUNT WILSON
1986-01-07	48.0	MOUNT WILSON
1986-01-30	45.0	MOUNT WILSON
1986-01-31	29.0	MOUNT WILSON
1986-02-02	25.0	MOUNT WILSON
1986-02-03	25.0	MOUNT WILSON
1986-02-04	40.0	MOUNT WILSON
1986-02-06	25.0	MOUNT WILSON
1986-02-07	40.0	MOUNT WILSON
1986-02-14	25.0	MOUNT WILSON
1986-02-15	41.0	MOUNT WILSON
1986-02-16	35.0	MOUNT WILSON
1986-02-20	27.0	MOUNT WILSON
1986-03-11	32.0	MOUNT WILSON
1986-03-18	45.0	MOUNT WILSON
1986-04-06	25.0	MOUNT WILSON
1986-05-07	25.0	MOUNT WILSON
1986-10-04	25.0	BURBANK-GLENDALE-PAS
1987-01-16	25.0	BURBANK-GLENDALE-PAS
1987-01-20	22.0	BURBANK-GLENDALE-PAS
1987-02-16	29.0	BURBANK-GLENDALE-PAS
1987-02-18	29.0	BURBANK-GLENDALE-PAS
1987-02-20	25.0	BURBANK-GLENDALE-PAS
1987-02-22	25.0	BURBANK-GLENDALE-PAS
1987-03-05	39.0	MOUNT WILSON
1987-03-25	27.0	MOUNT WILSON
1987-06-22	27.0	MOUNT WILSON
1987-08-29	17.0	MOUNT WILSON
1987-08-30	15.0	MOUNT WILSON
1987-09-20	15.0	MOUNT WILSON
1987-09-21	15.0	MOUNT WILSON
1987-10-11	15.0	MOUNT WILSON
1987-10-12	31.0	MOUNT WILSON
1987-11-02	20.0	MOUNT WILSON
1987-11-14	24.0	MOUNT WILSON
1987-11-15	21.0	MOUNT WILSON
1987-11-17	15.0	MOUNT WILSON
1987-11-25	24.0	MOUNT WILSON
1987-11-26	20.0	BURBANK-GLENDALE-PAS
1987-12-04	19.0	MOUNT WILSON
1987-12-05	24.0	MOUNT WILSON
1987-12-07	18.0	MOUNT WILSON
1987-12-08	15.0	MOUNT WILSON
1987-12-13	52.0	MOUNT WILSON
1987-12-14	34.0	MOUNT WILSON
1987-12-16	22.0	MOUNT WILSON
1987-12-18	25.0	MOUNT WILSON
1987-12-23	27.0	MOUNT WILSON
1987-12-24	38.0	MOUNT WILSON
1987-12-25	42.0	MOUNT WILSON
1987-12-29	20.0	BURBANK-GLENDALE-PAS
1988-01-04	19.0	MOUNT WILSON
1988-01-06	19.0	MOUNT WILSON
1988-01-08	19.0	MOUNT WILSON
1988-01-09	17.0	MOUNT WILSON
1988-01-16	18.0	MOUNT WILSON
1988-01-17	56.0	MOUNT WILSON
1988-01-18	25.0	BURBANK-GLENDALE-PAS
1988-01-19	40.0	MOUNT WILSON
1988-01-20	20.0	MOUNT WILSON
1988-01-21	15.0	MOUNT WILSON
1988-01-22	21.0	MOUNT WILSON
1988-01-25	22.0	MOUNT WILSON
1988-02-04	25.0	MOUNT WILSON
1988-02-05	26.0	MOUNT WILSON
1988-02-06	21.0	MOUNT WILSON
1988-02-17	46.0	MOUNT WILSON
1988-02-18	33.0	MOUNT WILSON
1988-02-19	29.0	BURBANK-GLENDALE-PAS
1988-02-26	17.0	MOUNT WILSON
1988-02-28	42.0	MOUNT WILSON
1988-02-29	34.0	MOUNT WILSON
1988-03-09	24.0	MOUNT WILSON
1988-03-10	29.0	BURBANK-GLENDALE-PAS
1988-03-11	25.0	BURBANK-GLENDALE-PAS
1988-03-28	25.0	BURBANK-GLENDALE-PAS
1988-03-31	20.0	BURBANK-GLENDALE-PAS
1988-04-01	18.0	MOUNT WILSON
1988-04-14	19.0	MOUNT WILSON
1988-04-15	28.0	MOUNT WILSON
1988-04-23	20.0	MOUNT WILSON
1988-04-28	17.0	MOUNT WILSON
1988-05-01	22.0	BURBANK-GLENDALE-PAS
1988-05-02	22.0	MOUNT WILSON
1988-05-04	15.0	MOUNT WILSON
1988-05-05	22.0	MOUNT WILSON
1988-05-12	19.0	MOUNT WILSON
1988-05-13	15.0	MOUNT WILSON
1988-05-23	15.0	MOUNT WILSON
1988-06-05	20.0	MOUNT WILSON
1988-06-11	17.0	MOUNT WILSON
1988-06-12	19.0	MOUNT WILSON
1988-06-19	15.0	MOUNT WILSON
1988-06-20	15.0	MOUNT WILSON
1988-06-24	15.0	MOUNT WILSON
1988-06-26	18.0	MOUNT WILSON
1988-06-27	20.0	MOUNT WILSON
1988-07-29	15.0	MOUNT WILSON
1988-09-07	15.0	MOUNT WILSON
1988-09-12	15.0	MOUNT WILSON
1988-10-06	17.0	MOUNT WILSON
1988-10-10	15.0	MOUNT WILSON
1988-10-31	15.0	MOUNT WILSON
1988-11-04	28.0	MOUNT WILSON
1988-11-14	26.0	MOUNT WILSON
1988-11-15	22.0	MOUNT WILSON
1988-11-16	22.0	MOUNT WILSON
1988-11-18	29.0	BURBANK-GLENDALE-PAS
1988-11-19	21.0	MOUNT WILSON
1988-11-21	15.0	MOUNT WILSON
1988-11-24	15.0	MOUNT WILSON
1988-11-26	15.0	MOUNT WILSON
1988-11-29	24.0	MOUNT WILSON
1988-12-08	56.0	MOUNT WILSON
1988-12-09	40.0	BURBANK-GLENDALE-PAS
1988-12-15	25.0	MOUNT WILSON
1988-12-16	31.0	MOUNT WILSON
1988-12-21	20.0	BURBANK-GLENDALE-PAS
1988-12-23	20.0	MOUNT WILSON
1988-12-24	22.0	MOUNT WILSON
1989-01-06	26.0	MOUNT WILSON
1989-01-07	24.0	MOUNT WILSON
1989-01-09	19.0	MOUNT WILSON
1989-01-12	41.0	MOUNT WILSON
1989-01-13	19.0	MOUNT WILSON
1989-01-26	24.0	MOUNT WILSON
1989-01-27	17.0	MOUNT WILSON
1989-02-04	40.0	MOUNT WILSON
1989-02-05	28.0	MOUNT WILSON
1989-02-20	20.0	MOUNT WILSON
1989-03-03	22.0	BURBANK-GLENDALE-PAS
1989-03-04	20.0	MOUNT WILSON
1989-03-09	22.0	MOUNT WILSON
1989-03-10	17.0	MOUNT WILSON
1989-03-13	15.0	MOUNT WILSON
1989-03-16	17.0	MOUNT WILSON
1989-03-19	22.0	MOUNT WILSON
1989-03-25	33.0	MOUNT WILSON
1989-03-26	20.0	MOUNT WILSON
1989-03-28	32.0	MOUNT WILSON
1989-03-29	22.0	MOUNT WILSON
1989-04-01	15.0	MOUNT WILSON
1989-04-03	25.0	MOUNT WILSON
1989-04-24	25.0	MOUNT WILSON
1989-04-25	17.0	MOUNT WILSON
1989-04-26	15.0	MOUNT WILSON
1989-05-23	17.0	MOUNT WILSON
1989-05-30	15.0	MOUNT WILSON
1989-06-03	18.0	MOUNT WILSON
1989-06-08	15.0	MOUNT WILSON
1989-06-27	15.0	MOUNT WILSON
1989-09-17	19.0	MOUNT WILSON
1989-09-30	15.0	MOUNT WILSON
1989-10-15	17.0	MOUNT WILSON
1989-10-21	17.0	MOUNT WILSON
1989-10-26	25.0	MOUNT WILSON
1989-11-26	20.0	MOUNT WILSON
1989-11-27	15.0	MOUNT WILSON
1989-11-28	20.0	MOUNT WILSON
1989-11-29	15.0	MOUNT WILSON
1989-12-02	22.0	MOUNT WILSON
1989-12-06	18.0	MOUNT WILSON
1989-12-07	22.0	MOUNT WILSON
1989-12-28	15.0	MOUNT WILSON
1989-12-29	24.0	MOUNT WILSON
1989-12-30	15.0	MOUNT WILSON
1989-12-31	15.0	MOUNT WILSON
1990-01-02	20.0	MOUNT WILSON
1990-01-05	20.0	MOUNT WILSON
1990-01-08	20.0	MOUNT WILSON
1990-01-14	36.0	MOUNT WILSON
1990-01-29	19.0	MOUNT WILSON
1990-02-01	29.0	BURBANK-GLENDALE-PAS
1990-02-02	32.0	MOUNT WILSON
1990-02-05	29.0	BURBANK-GLENDALE-PAS
1990-02-14	31.0	MOUNT WILSON
1990-02-15	18.0	MOUNT WILSON
1990-02-17	20.0	BURBANK-GLENDALE-PAS
1990-02-18	32.0	MOUNT WILSON
1990-03-05	29.0	BURBANK-GLENDALE-PAS
1990-03-08	15.0	MOUNT WILSON
1990-03-09	15.0	MOUNT WILSON
1990-03-11	22.0	MOUNT WILSON
1990-03-13	18.0	MOUNT WILSON
1990-03-15	22.0	MOUNT WILSON
1990-04-17	15.0	MOUNT WILSON
1990-04-24	26.0	MOUNT WILSON
1990-04-25	19.0	MOUNT WILSON
1990-04-26	19.0	MOUNT WILSON
1990-05-03	15.0	MOUNT WILSON
1990-05-07	18.0	MOUNT WILSON
1990-05-20	17.0	MOUNT WILSON
1990-05-29	19.0	MOUNT WILSON
1990-05-30	18.0	MOUNT WILSON
1990-06-07	22.0	MOUNT WILSON
1990-06-09	15.0	MOUNT WILSON
1990-08-13	15.0	MOUNT WILSON
1990-08-26	15.0	MOUNT WILSON
1990-08-30	15.0	MOUNT WILSON
1990-09-03	15.0	MOUNT WILSON
1990-09-15	15.0	MOUNT WILSON
1990-09-29	22.0	MOUNT WILSON
1990-10-05	15.0	MOUNT WILSON
1990-10-08	18.0	MOUNT WILSON
1990-10-18	17.0	MOUNT WILSON
1990-11-02	26.0	MOUNT WILSON
1990-11-03	32.0	MOUNT WILSON
1990-11-04	20.0	MOUNT WILSON
1990-11-06	24.0	MOUNT WILSON
1990-11-07	42.0	MOUNT WILSON
1990-11-08	24.0	MOUNT WILSON
1990-11-20	18.0	MOUNT WILSON
1990-11-26	44.0	MOUNT WILSON
1990-12-16	15.0	MOUNT WILSON
1990-12-19	25.0	MOUNT WILSON
1990-12-20	22.0	MOUNT WILSON
1990-12-22	22.0	MOUNT WILSON
1990-12-24	17.0	MOUNT WILSON
1991-01-05	18.0	MOUNT WILSON
1991-01-12	18.0	MOUNT WILSON
1991-01-13	22.0	BURBANK-GLENDALE-PAS
1991-01-14	31.0	MOUNT WILSON
1991-01-15	25.0	MOUNT WILSON
1991-01-16	29.0	BURBANK-GLENDALE-PAS
1991-01-17	27.0	MOUNT WILSON
1991-01-29	24.0	MOUNT WILSON
1991-02-03	15.0	MOUNT WILSON
